Internship_id,Intrnship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link
A350,Human Resources,Confluencr,Media/ Entertainment,SME,Full-time,Bangalore,Karnataka,Remote,Talent Acquisition & Recruitment,2 Months,12000,15000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-confluencr1785212808
A351,Talent Acquisition,Bizcraft Advisors Pvt Ltd,"Banking, Financial Services and Insurance (BFSI)",Startup,Full-time,Bangalore,Karnataka,Remote,Talent Acquisition & Recruitment,1 Month,10000,12000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-bizcraft-advisors-pvt-ltd1785159546
A352,HR Intern,Reckitt,FMCG,Enterprise,Full-time,Gurgaon,Haryana,Remote,HR Operations,6 Months,10000,10000,Internshala,https://internshala.com/internship/detail/hr-intern-internship-in-gurgaon-at-reckitt1785162214
A353,Human Resources,Aydya,"IT/ Technology, Advertising/ Marketing, Animation",Startup,Part-time,Bangalore,Karnataka,Hybrid,Talent Acquisition & Recruitment,6 Months,6000,10000,Internshala,https://internshala.com/internship/detail/part-time-human-resources-hr-internship-in-bangalore-at-aydya1785156022
A354,Human Resources,Vidhema Technologies,IT/ Technology,SME,Full-time,Jaipur,Rajasthan,Remote,Talent Acquisition & Recruitment,6 Months,5000,5001,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-vidhema-technologies1785147351
A355,Recruitment,Happy Connects,IT/ Technology,Startup,Full-time,Chennai,Tamil Nadu,Remote,Talent Acquisition & Recruitment,3 Months,9000,12000,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-chennai-at-happy-connects1785147153
A356,Talent Acquisition,Pepup HR Consulting Firm,Consulting,Startup,Full-time,Pune,Maharashtra,Remote,Talent Acquisition & Recruitment,2 Months,25000,30000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-pune-at-pepup-hr-consulting-firm1785147772
A357,Human Resources,Transcendence,Consulting,SME,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,15000,17000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-transcendence1785145725
A358,Recruitment,ConsultBae,Recruitment,Startup,Full-time,Gurgaon,Haryana,Remote,Talent Acquisition & Recruitment,6 Months,5000,8000,Internshala,https://internshala.com/internship/detail/work-from-home-hr-recruitment-kannada-internship-at-consultbae1785137311
A359,Recruitment,ConsultBae,Recruitment,Startup,Full-time,Gurgaon,Haryana,Remote,Talent Acquisition & Recruitment,6 Months,5000,7000,Internshala,https://internshala.com/internship/detail/work-from-home-hr-recruitment-marathi-internship-at-consultbae1785137302
A360,Human Resources,Scholarship Wallah,Education/ Teaching/ Training,Startup,Part-time,Kolkata,West Bengal,Remote,Talent Acquisition & Recruitment,1 Month,5000,10000,Internshala,https://internshala.com/internship/detail/part-time-human-resources-hr-internship-in-kolkata-at-scholarship-wallah1785135402
A361,Recruitment,ConsultBae,Recruitment,Startup,Full-time,Gurgaon,Haryana,Remote,Talent Acquisition & Recruitment,6 Months,5000,7000,Internshala,https://internshala.com/internship/detail/work-from-home-hr-recruitment-malyalam-internship-at-consultbae1785133540
A362,Human Resources,Adex Media Hub,Advertising/ Marketing,Startup,Full-time,Delhi,Delhi,Remote,Talent Acquisition & Recruitment,3 Months,3000,10000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-adex-media-hub1785130564
A363,Human Resources,Saregama India Limited,Media/ Entertainment,SME,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,8000,10000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-saregama-india-limited1785130178
A364,Talent Acquisition,JIRAIYA EDUCATION LLP,Education/ Teaching/ Training,Startup,Part-time,Noida,Uttar Pradesh,Remote,Talent Acquisition & Recruitment,3 Months,10000,10000,Internshala,https://internshala.com/internship/detail/work-from-home-talent-acquisition-internship-at-jiraiya-education-llp1785126141
A365,Human Resources,Nandan GSE Private Limited,Manufacturing/ Engineering,SME,Part-time,Navi Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,25000,25000,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-human-resources-hr-internship-at-nandan-gse-private-limited1785111839
A366,Human Resources,Richsoil,Agriculture/ Dairy,Startup,Full-time,Jaipur,Rajasthan,Remote,Talent Acquisition & Recruitment,3 Months,5000,5000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-richsoil1785069730
A367,Recruitment,Unessa Foundation,Other,SME,Part-time,Vadodara,Gujarat,Remote,Talent Acquisition & Recruitment,1 Month,,,Internshala,https://internshala.com/internship/detail/work-from-home-recruitment-internship-at-unessa-foundation1785043831
A368,Human Resources,Solvers India,Recruitment,Startup,Full-time,Coimbatore,Tamil Nadu,Remote,Talent Acquisition & Recruitment,3 Months,4000,13000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-coimbatore-at-solvers-india1784979448
A369,Talent Acquisition,Oben Electric Vehicles Private Limited,Automobile,SME,Full-time,Bangalore,Karnataka,Remote,Talent Acquisition & Recruitment,3 Months,20000,24000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-oben-electric-vehicles-private-limited1784979716
A370,Human Resources,Career-Domain,Education/ Teaching/ Training,SME,Full-time,Nagpur,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,2000,5000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-nagpur-at-career-domain1784977735
A371,Recruitment,PLS Solicitors,Legal,SME,,Faridabad,Delhi,Remote,Talent Acquisition & Recruitment,6 Months,11000,15000,Internshala,https://internshala.com/internship/detail/recruiter-internship-in-multiple-locations-at-pls-solicitors1784977077
A372,Human Resources,Pioneer Infotech Private Limited,"IT/ Technology, Banking, Financial Services and Insurance (BFSI)",SME,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,7500,10000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-pioneer-infotech-private-limited1784957095
A373,Human Resources,Pawzz Foundation,Social services,Startup,Full-time,Gurgaon,Haryana,Remote,Talent Acquisition & Recruitment,3 Months,11000,19000,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-pawzz-foundation1784957674
A374,Human Resources,CareerNest,Social services,Startup,Part-time,Nagpur,Maharashtra,Remote,Talent Acquisition & Recruitment,1 Month,12000,20000,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-careernest1784957363
A375,Human Resources,Women First India Foundation,Social services,Startup,Part-time,Delhi,Delhi,Remote,Talent Acquisition & Recruitment,3 Months,,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-women-first-india-foundation1784898581
A376,Talent Acquisition,Discovr AI,Advertising/ Marketing,Startup,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,10000,15000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-discovr-ai1784894947
A377,Human Resources,Pledge India Foundation,Social services,Startup,Part-time,Delhi,Delhi,Remote,Talent Acquisition & Recruitment,3 Months,,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-pledge-india-foundation1784894109
A378,Recruitment,Infotek Software & Systems Private Limited,IT/ Technology,SME,Full-time,Pune,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,9000,12000,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-pune-at-infotek-software-systems-private-limited1784883349
A379,Human Resources,Aadi Foundation,Social services,SME,Full-time,Delhi,Delhi,Remote,Talent Acquisition & Recruitment,3 Months,,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-aadi-foundation1784881546
A380,Talent Acquisition,StoryYell Private Limited,Advertising/ Marketing,Startup,Part-time,Pune,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,8000,10000,Internshala,https://internshala.com/internship/detail/work-from-home-talent-acquisition-internship-at-storyyell-private-limited1784881425
A381,HR admin,Pro Sport Development,Social services,Startup,Full-time,Delhi,Delhi,Remote,,6 Months,5000,7000,Internshala,https://internshala.com/internship/detail/hr-admin-internship-in-delhi-at-pro-sport-development1784881345
A382,Talent Acquisition,Emversity,Education/ Teaching/ Training,Startup,Full-time,Bangalore,Karnataka,Remote,Talent Acquisition & Recruitment,3 Months,12000,15000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-emversity1784873804
A383,Human Resources,Altraverse,IT/ Technology,Startup,Part-time,Nagpur,Maharashtra,Remote,Talent Acquisition & Recruitment,2 Months,1000,2000,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-human-resources-hr-nagpur-only-internship-at-altraverse1784868569
A384,Human Resources,Panchsheel Traders,Export/ Import,Startup,Part-time,Kolkata,West Bengal,Remote,Talent Acquisition & Recruitment,1 Month,10000,15000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-kolkata-at-panchsheel-traders1784833569
A385,HR,S A Global Exports Private Limited,Manufacturing/ Engineering,Startup,Full-time,Bangalore,Karnataka,Remote,,3 Months,5000,8000,Internshala,https://internshala.com/internship/detail/hr-internship-in-bangalore-at-s-a-global-exports-private-limited1784820343
A386,Human Resources,Harita Techserv Private Limited,Manufacturing/ Engineering,MNC,Full-time,Coimbatore,Tamil Nadu,Remote,Talent Acquisition & Recruitment,2 Months,5000,8000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-coimbatore-at-harita-techserv-private-limited1784811396
A387,Human Resources,Neptune Tours & Travels Private Limited,Travel/ Tourism,SME,Part-time,Kolkata,West Bengal,Remote,Talent Acquisition & Recruitment,6 Months,5000,15000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-kolkata-at-neptune-tours-travels-private-limited1784798208
A388,Human Resources,Crazy For Success Foundation,IT/ Technology,Startup,Full-time,Pune,Maharashtra,Hybrid,Talent Acquisition & Recruitment,2 Months,,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-crazy-for-success-foundation1784798804
A389,Human Resources,Crazy For Success Foundation,IT/ Technology,Startup,Full-time,Hathras,Uttar Pradesh,Hybrid,Talent Acquisition & Recruitment,2 Months,,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-hathras-at-crazy-for-success-foundation1784797215
A390,Talent Acquisition,IVAAN CONSULTANCY SERVICES (OPC) PRIVATE LIMITED,Consulting,Startup,Part-time,Ghaziabad,Uttar Pradesh,Remote,Talent Acquisition & Recruitment,6 Months,9000,19000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-ghaziabad-at-ivaan-consultancy-services-opc-private-limited1784788819
A391,Human Resources,Serve Amigo Technologies Private Limited,"Banking, Financial Services and Insurance (BFSI)",Startup,Full-time,Noida,Uttar Pradesh,Remote,Talent Acquisition & Recruitment,1 Month,5000,5001,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-noida-at-serve-amigo-technologies-private-limited1784796156
A392,Human Resources,Bauer Bodoni,"Travel/ Tourism, Advertising/ Marketing, Events services",Startup,Full-time,Faridabad,Haryana,Remote,Talent Acquisition & Recruitment,6 Months,10000,12000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-faridabad-at-bauer-bodoni1784789715
A393,HR,MARS Cosmetics,Wellness/ Fitness/ Sports/ Beauty,SME,Full-time,Delhi,Delhi,Remote,,3 Months,14000,15000,Internshala,https://internshala.com/internship/detail/retail-hr-internship-in-delhi-at-mars-cosmetics1784782669
A394,Human Resources,Dynamo Careers,Events services,Startup,Part-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,3000,6000,Internshala,https://internshala.com/internship/detail/part-time-human-resources-hr-internship-in-mumbai-at-dynamo-careers1784723042
A395,Human Resources,VAP GROUP,IT/ Technology,SME,Full-time,Vadodara,Gujarat,Remote,Talent Acquisition & Recruitment,6 Months,15000,20000,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-vap-group1784721639
A396,Human Resources,Podium Systems Private Limited,Recruitment,SME,Full-time,Pune,Maharashtra,Remote,Talent Acquisition & Recruitment,2 Months,2001,2003,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-podium-systems-private-limited1784713346
A397,Talent Acquisition,Triumph System And Solutions Private Limited,IT/ Technology,SME,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,14001,20000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-triumph-system-and-solutions-private-limited1784717928
A398,Recruitment,"BXL Infotech (Brussels, Belgium)",IT/ Technology,Startup,Part-time,Brussels,Brussels,Remote,Talent Acquisition & Recruitment,3 Months,7000,7000,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-recruitment-internship-at-bhanuprabha-kargeti1784715583
A399,Talent Acquisition,HSE INTEGRO,Recruitment,SME,Part-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,6 Months,5000,6000,Internshala,https://internshala.com/internship/detail/part-time-talent-acquisition-internship-in-mumbai-at-hse-integro1784706697
A400,Human Resources,Mad Over Donuts,"Hotels/ Restaurant, Food/ Beverages",SME,Full-time,Mumbai,Maharashtra,Remote,Talent Acquisition & Recruitment,3 Months,7000,10000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-mad-over-donuts1784712552
A401,Human Resources,Hbeonlabs Technologies Private Limited,"Electronics/ Semiconductors, Manufacturing/ Engineering",SME,,,Delhi,Remote,Talent Acquisition & Recruitment,3 Months,10000,14000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-hbeonlabs-technologies-private-limited1784707243
A402,Talent Acquisition,Target HR,Recruitment,Startup,Full-time,Bangalore,Karnataka,Hybrid,Talent Acquisition & Recruitment,3 Months,10000,15000,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-target-hr1784706001
